crop,id,L_ini,L_dev,L_mid,L_late,kc_ini,kc_mid,kc_end,rootingdepth_irrigated,rootingdepth_rainfed,crop_depletion_factor
Wheat,1,0.15,0.25,0.4,0.2,0.4,1.15,0.3,1250.0,1600.0,0.55
Maize,2,0.17,0.28,0.33,0.22,0.3,1.2,0.4,1000.0,1600.0,0.55
Rice,3,0.17,0.18,0.44,0.21,1.05,1.2,0.75,500.0,1000.0,0.0
Barley,4,0.15,0.25,0.4,0.2,0.3,1.15,0.25,1000.0,1500.0,0.55
Rye,5,0.1,0.6,0.2,0.1,0.4,1.15,0.3,1250.0,1600.0,0.55
Millet,6,0.14,0.22,0.4,0.24,0.3,1.0,0.3,1000.0,1800.0,0.55
Sorghum,7,0.15,0.28,0.33,0.24,0.3,1.1,0.55,1000.0,1800.0,0.55
Soybeans,8,0.15,0.2,0.45,0.2,0.4,1.15,0.5,600.0,1300.0,0.5
Sunflower,9,0.19,0.27,0.35,0.19,0.35,1.1,0.25,800.0,1500.0,0.45
Potatoes,10,0.2,0.25,0.35,0.2,0.35,1.15,0.5,400.0,600.0,0.35
Cassava,11,0.1,0.2,0.43,0.27,0.3,0.95,0.4,600.0,900.0,0.35
Sugar cane,12,0.0,0.0,1.0,0.0,0.0,0.9,0.0,1200.0,1800.0,0.65
Sugar beets,13,0.2,0.25,0.35,0.2,0.35,1.2,0.8,700.0,1200.0,0.55
Oil palm,14,0.0,0.0,1.0,0.0,0.0,1.0,0.0,700.0,1100.0,0.65
Rapeseed,15,0.3,0.25,0.3,0.15,0.35,1.1,0.35,1000.0,1500.0,0.6
Groundnuts,16,0.22,0.28,0.3,0.2,0.4,1.15,0.6,500.0,1000.0,0.5
Pulses,17,0.18,0.27,0.35,0.2,0.45,1.1,0.6,550.0,850.0,0.45
Citrus,18,0.16,0.25,0.33,0.26,0.8,0.8,0.8,1000.0,1300.0,0.5
Date palm,19,0.0,0.0,1.0,0.0,0.95,0.95,0.95,1500.0,2200.0,0.5
Grapes,20,0.3,0.14,0.2,0.36,0.3,0.8,0.3,1000.0,1800.0,0.4
Cotton,21,0.17,0.33,0.25,0.25,0.35,1.18,0.6,1000.0,1500.0,0.65
Cocoa,22,0.0,0.0,1.0,0.0,1.05,1.05,1.05,700.0,1000.0,0.3
Coffee,23,0.0,0.0,1.0,0.0,1.0,1.0,1.0,900.0,1500.0,0.4
Others perennial,24,0.0,0.0,1.0,0.0,0.0,0.8,0.0,800.0,1200.0,0.5
Fodder grasses,25,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1000.0,1500.0,0.55
Others annual,26,0.15,0.25,0.4,0.2,0.4,1.05,0.5,1000.0,1500.0,0.55
