glcnmo,description,landuse,vegetation_kext,land_manning_n,soil_compacted_fraction,vegetation_root_depth,vegetation_leaf_storage,vegetation_wood_storage,land_water_fraction,vegetation_crop_factor,vegetation_feddes_alpha_h1,vegetation_feddes_h1,vegetation_feddes_h2,vegetation_feddes_h3_high,vegetation_feddes_h3_low,vegetation_feddes_h4,erosion_usle_c
1,Broadleaf Evergreen Forest,1,0.8,0.6,0,294.1,0.2,0.09,0,1,1,0,-100,-400,-1000,-16000,0.0013
2,Broadleaf Deciduous Forest,2,0.8,0.6,0,429.8,0.18,0.09,0,1.2,1,0,-100,-400,-1000,-16000,0.0013
3,Needleleaf Evergreen Forest,3,0.8,0.4,0,382.2,0.29,0.09,0,1,1,0,-100,-400,-1000,-16000,0.0011
4,Needleleaf Deciduous Forest,4,0.8,0.4,0,215.3,0.29,0.09,0,1.2,1,0,-100,-400,-1000,-16000,0.0011
5,Mixed Forest,5,0.8,0.5,0,406,0.2,0.09,0,1.1,1,0,-100,-400,-1000,-16000,0.0012
6,Tree open,6,0.8,0.5,0,408,0.23,0.09,0,1,1,0,-100,-400,-1000,-16000,0.0012
7,Shrub,7,0.7,0.5,0,410,0.1,0.05,0,1.05,1,0,-100,-400,-1000,-16000,0.06
8,Herbaceous,8,0.6,0.2,0,106.8,0.1,0.01,0,1,1,0,-100,-400,-1000,-16000,0.04
9,Herbaceous with sparse tree/shrub,9,0.6,0.3,0,106.8,0.1,0.03,0,1.05,1,0,-100,-400,-1000,-16000,0.045
10,Sparse vegetation,10,0.6,0.015,0,10.7,0.1,0.03,0,0.5,1,0,-100,-400,-1000,-16000,0.35
11,Cropland,11,0.6,0.15,0,390.4,0.077,0.005,0,1.15,0,0,-100,-400,-1000,-16000,0.3
12,Paddy field,12,0.35,0.125,0,106.8,0.042,0.005,0,1.2,0,100,55,-160,-250,-16000,0.15
13,Cropland / Other Vegetation Mosaic,13,0.6,0.2,0,390.4,0.1,0.03,0,1,0,0,-100,-400,-1000,-16000,0.25
14,Mangrove,14,0.8,0.5,0,369,0.23,0.09,0.5,1.05,1,0,-100,-400,-1000,-16000,0.008
15,Wetland,15,0.6,0.125,0,106.8,0.1,0.03,0,1.2,1,0,-100,-400,-1000,-16000,0.001
16,Bare area consolidated(gravel/rock),16,0,0.01,1,0,0,0,0,0.3,1,0,-100,-400,-1000,-16000,0
17,Bare area unconsolidated (sand),17,0,0.01,0,0,0,0,0,0.3,1,0,-100,-400,-1000,-16000,1
18,Urban,18,0.6,0.015,0.75,257.4,0.1,0.03,0,1,1,0,-100,-400,-1000,-16000,0.001
19,Snow / Ice,19,0,0.01,0,0,0,0,0,1,1,0,-100,-400,-1000,-16000,0
20,Water bodies,20,0,0.01,0,0,0,0,1,1.05,1,0,-100,-400,-1000,-16000,0
0,No data,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
