vito,description,landuse,vegetation_kext,land_manning_n,soil_compacted_fraction,vegetation_root_depth,vegetation_leaf_storage,vegetation_wood_storage,land_water_fraction,vegetation_crop_factor,vegetation_feddes_alpha_h1,vegetation_feddes_h1,vegetation_feddes_h2,vegetation_feddes_h3_high,vegetation_feddes_h3_low,vegetation_feddes_h4,erosion_usle_c
20,Shrubs,20,0.7,0.5,0,410,0.1,0.05,0,1.05,1,0,-100,-400,-1000,-16000,0.06
30,Herbaceous vegetation,30,0.6,0.2,0,106.8,0.1,0.01,0,1,1,0,-100,-400,-1000,-16000,0.04
40,Cultivated and managed vegetation/agriculture (cropland),40,0.6,0.15,0,390.4,0.077,0.005,0,1.1,0,0,-100,-400,-1000,-16000,0.3
50,Urban / built up,50,0.7,0.015,0.85,257.4,0.1,0.03,0,1,1,0,-100,-400,-1000,-16000,0.001
60,Bare / sparse vegetation,60,0.6,0.015,0,10.7,0.1,0.03,0,1,1,0,-100,-400,-1000,-16000,0.35
70,Snow and Ice,70,0,0.01,0,0,0,0,0,-999,1,0,-100,-400,-1000,-16000,0
80,Permanent water bodies,80,0,0.01,0,0,0,0,1,-999,1,0,-100,-400,-1000,-16000,0
90,Herbaceous wetland,90,0.6,0.125,0,106.8,0.1,0.01,0,1.2,1,0,-100,-400,-1000,-16000,0.001
100,Moss and lichen,100,0.6,0.085,0,136.9,0.1,0.01,0,1.05,1,0,-100,-400,-1000,-16000,0.001
111,Closed forest evergreen needle leaf,111,0.8,0.4,0,382.2,0.29,0.09,0,0.95,1,0,-100,-400,-1000,-16000,0.0011
112,Closed forest evergreen broad leaf,112,0.8,0.6,0,294.1,0.2,0.09,0,1.2,1,0,-100,-400,-1000,-16000,0.0013
113,Closed forest deciduous needle leaf,113,0.8,0.4,0,215.3,0.29,0.09,0,0.95,1,0,-100,-400,-1000,-16000,0.0011
114,Closed forest deciduous broad leaf,114,0.8,0.6,0,429.8,0.18,0.09,0,1.2,1,0,-100,-400,-1000,-16000,0.0013
115,Closed forest mixed,115,0.8,0.5,0,406,0.2,0.09,0,1.1,1,0,-100,-400,-1000,-16000,0.0012
116,Closed forest unknown,116,0.8,0.5,0,406,0.23,0.09,0,1.1,1,0,-100,-400,-1000,-16000,0.0012
121,Open forest evergreen needle leaf,121,0.8,0.45,0,396.1,0.29,0.09,0,1,1,0,-100,-400,-1000,-16000,0.0011
122,Open forest evergreen broad leaf,122,0.8,0.55,0,352,0.2,0.09,0,1.1,1,0,-100,-400,-1000,-16000,0.0013
123,Open forest deciduous needle leaf,123,0.8,0.45,0,312.6,0.29,0.09,0,1,1,0,-100,-400,-1000,-16000,0.0011
124,Open forest deciduous broad leaf,124,0.8,0.55,0,419.9,0.18,0.09,0,1.1,1,0,-100,-400,-1000,-16000,0.0013
125,Open forest mixed,125,0.8,0.5,0,408,0.2,0.09,0,1.05,1,0,-100,-400,-1000,-16000,0.0012
126,Open forest unknown,126,0.8,0.5,0,408,0.23,0.09,0,1.05,1,0,-100,-400,-1000,-16000,0.0012
200,Open sea,200,0,0.01,0,0,0,0,1,-999,1,0,-100,-400,-1000,-16000,0
0,No data,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
